fdc_id,name,cal,pro,carb,fat
320356,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",0,23,0,3
320383,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",0,24,0,2
320389,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",0,24,0,3
320391,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",0,24,0,2
320393,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",0,24,0,3
320395,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",0,24,0,2
320401,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",0,24,0,3
320403,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",0,23,0,3
320405,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",0,23,0,2
320407,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",0,23,0,2
320409,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",0,23,0,1
320411,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",0,23,0,2
321358,"Hummus, commercial",229,7,15,17
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50,3,5,2
321360,"Tomatoes, grape, raw",27,1,6,1
321611,"Beans, snap, green, canned, regular pack, drained solids",21,1,4,0
321900,"Broccoli, raw",32,3,6,0
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",43,3,5,1
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",34,3,5,0
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",60,3,5,3
323121,"Frankfurter, beef, unheated",314,12,3,28
323294,"Nuts, almonds, dry roasted, with salt added",620,20,16,58
323444,"Cheese, ricotta, whole milk",157,8,7,11
323505,"Kale, raw",35,3,4,1
323604,"Egg, whole, raw, frozen, pasteurized",150,12,1,10
323697,"Egg, white, raw, frozen, pasteurized",48,10,1,0
323793,"Egg, white, dried",376,80,6,1
324038,"Sauce, salsa, ready-to-serve",29,1,7,0
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",328,13,3,29
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",288,5,36,14
324653,"Pickles, cucumber, dill or kosher dill",12,0,2,0
324860,"Peanut butter, smooth style, with salt",597,22,22,51
325036,"Cheese, parmesan, grated",421,30,12,28
325198,"Cheese, pasteurized process, American, vitamin D fortified",366,18,5,31
325287,"Grapefruit juice, white, canned or bottled, unsweetened",37,1,8,1
325430,"Peaches, yellow, raw",42,1,10,0
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",612,21,17,56
325658,"Sausage, Italian, pork, mild, cooked, pan-fried",322,18,2,26
325871,"Bread, white, commercially prepared",270,9,49,4
325992,"Sausage, turkey, breakfast links, mild, raw",169,17,1,10
326135,"Cheese, swiss",393,27,1,31
326196,"Kale, frozen, cooked, boiled, drained, without salt",36,3,5,1
326458,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",37,1,8,0
326698,"Mustard, prepared, yellow",61,4,5,3
326905,"Figs, dried, uncooked",249,3,64,1
327046,"Kiwifruit, green, raw",58,1,14,0
327198,"Melons, cantaloupe, raw",34,1,8,0
327357,"Nectarines, raw",39,1,9,0
327501,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",47,1,12,0
327699,"Strawberries, raw",31,1,8,0
327923,"Lettuce, cos or romaine, raw",17,1,3,0
328637,"Cheese, cheddar",408,23,2,34
328841,"Cheese, cottage, lowfat, 2% milkfat",84,11,4,2
329370,"Cheese, mozzarella, low moisture, part-skim",298,24,4,20
329490,"Egg, whole, dried",575,48,2,40
329596,"Egg, yolk, raw, frozen, pasteurized",296,16,1,25
329716,"Egg, yolk, dried",654,34,1,56
329830,"Cheese, dry white, queso seco",326,24,2,24
330137,"Yogurt, Greek, plain, nonfat",61,10,4,0
330144,"Proximates, Yogurt, Greek, strawberry, non-fat, DANNON OIKOS (CO,CT) - NFY120OO0",0,8,0,0
330151,"Proximates, Yogurt, Greek, strawberry, non-fat, DANNON OIKOS (AL,CA1) - NFY120ON9",0,8,0,0
330158,"Proximates, Yogurt, Greek, strawberry, non-fat, DANNON OIKOS (MI,OK) - NFY120OOL",0,8,0,0
330172,"Proximates, Yogurt, Greek, strawberry, non-fat, DANNON OIKOS (FL,MO) - NFY120OO8",0,8,0,0
330193,"Proximates, Yogurt, Greek, strawberry, non-fat, FAGE TOTAL (FL,CT) - NFY120PA7",0,8,0,0
330211,"Proximates, Yogurt, Greek, strawberry, non-fat, DANNON OIKOS (CA2,NC) - NFY120ONI",0,8,0,0
330235,"Proximates, Yogurt, Greek, strawberry, non-fat, CHOBANI (AL,CA1) - NFY120OP9",0,8,0,0
330248,"Proximates, Yogurt, Greek, strawberry, non-fat, DANNON OIKOS (IN,NY) - NFY120OMR",0,8,0,0
330272,"Proximates, Yogurt, Greek, strawberry, non-fat, CHOBANI (IN,NY) - NFY120OOV",0,8,0,0
330291,"Proximates, Yogurt, Greek, strawberry, non-fat, CHOBANI (CO,CT) - NFY120OPV",0,8,0,0
330304,"Proximates, Yogurt, Greek, strawberry, non-fat, CHOBANI (MI,OK) - NFY120OQI",0,8,0,0
330322,"Proximates, Yogurt, Greek, strawberry, non-fat, FAGE TOTAL (NY,NC) - NFY120ORF",0,8,0,0
330344,"Proximates, Yogurt, Greek, strawberry, non-fat, FAGE TOTAL (CA2,CO) - NFY120OS1",0,8,0,0
330365,"Proximates, Yogurt, Greek, strawberry, non-fat, CHOBANI (FL,MO) - NFY120OQ2",0,8,0,0
